id,status_1,created_by,criticality,created_on,ci_number,name_1,updated_by,soft_delete_id,version,icon_name,updated_on,asset_id,color,ci_number_fx_rev,room,model,building,serial_number,manufacturer,operating_system,university_owned_,uanet_id,machine_name,warranty_type,lab_computer,date_warranty_expires,date_shipped,owned_by,building_list,accidental_damage
,,,,,,,,,,,,,,,,,,BBDYNH2,,,,,,,,11/12/2022,,,,TRUE
,,,,,,,,,,,,,,,,,,129QJ02,,,,,,,,03/24/2017,,,,FALSE
,,,,,,,,,,,,,,,,,,HYCSKS1,,,,,,,,03/08/2015,,,,FALSE
,,,,,,,,,,,,,,,,,,2614-3560-9354-7371-8300-6436-98,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8447-9197-7492-3284-7103-4801-23,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5NTP3R1,,,,,,,,09/16/2014,,,,FALSE
,,,,,,,,,,,,,,,,,,BXR2VN2,,,,,,,,05/30/2022,,,,TRUE
,,,,,,,,,,,,,,,,,,F3Z5YJ2,,,,,,,,06/15/2020,,,,FALSE
,,,,,,,,,,,,,,,,,,BWX8Q22,,,,,,,,11/14/2017,,,,FALSE
,,,,,,,,,,,,,,,,,,47LJQF2,,,,,,,,12/18/2019,,,,FALSE
,,,,,,,,,,,,,,,,,,9748-5688-6486-2524-4842-6832-42,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,035533244953,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5LC9L02,,,,,,,,04/21/2017,,,,FALSE
,,,,,,,,,,,,,,,,,,57THBG2,,,,,,,,10/26/2019,,,,FALSE
,,,,,,,,,,,,,,,,,,5FFLKH2,,,,,,,,06/20/2021,,,,FALSE
