id,status_1,created_by,criticality,created_on,ci_number,name_1,updated_by,soft_delete_id,version,icon_name,updated_on,asset_id,color,ci_number_fx_rev,room,model,building,serial_number,manufacturer,operating_system,university_owned_,uanet_id,machine_name,warranty_type,lab_computer,date_warranty_expires,date_shipped,owned_by,building_list,accidental_damage
6834,Deployed,41301,Medium,31:31.5,6734,,41301,6834,,,31:31.5,,NULL,4376,,,,,,,FALSE,ZIEGLER,,,FALSE,NULL,NULL,,NULL,NULL
6835,Deployed,41301,Medium,31:31.5,6735,,41301,6835,,,31:31.5,,NULL,5376,,,,,,,FALSE,TESSIER,,,FALSE,NULL,NULL,,NULL,NULL
6836,Deployed,41301,Medium,31:31.5,6736,,41301,6836,,,31:31.5,,NULL,6376,,,,,,,FALSE,YP5,,,FALSE,NULL,NULL,,NULL,NULL
6837,Deployed,41301,Medium,31:31.5,6737,,41301,6837,,,31:31.5,,NULL,7376,,,,,,,FALSE,MKONOPKA,,,FALSE,NULL,NULL,,NULL,NULL
6838,Deployed,41301,Medium,31:31.5,6738,,41301,6838,,,31:31.5,,NULL,8376,,,,,,,FALSE,RKIMBER,,,FALSE,NULL,NULL,,NULL,NULL
6839,Deployed,41301,Medium,31:31.5,6739,,41301,6839,,,31:31.5,,NULL,9376,,,,,,,FALSE,NPK5,,,FALSE,NULL,NULL,,NULL,NULL
6840,Deployed,41301,Medium,31:31.5,6740,,41301,6840,,,31:31.5,,NULL,476,,,,,,,FALSE,COSSEY,,,FALSE,NULL,NULL,,NULL,NULL
6841,Deployed,41301,Medium,31:31.5,6741,,41301,6841,,,31:31.5,,NULL,1476,,,,,,,FALSE,KNM14,,,FALSE,NULL,NULL,,NULL,NULL
6842,Deployed,41301,Medium,31:31.5,6742,,41301,6842,,,31:31.5,,NULL,2476,,,,,,,FALSE,KDAHAL,,,FALSE,NULL,NULL,,NULL,NULL
6843,Deployed,41301,Medium,31:31.5,6743,,41301,6843,,,31:31.5,,NULL,3476,,,,,,,FALSE,SHARP,,,FALSE,NULL,NULL,,NULL,NULL
6844,Deployed,41301,Medium,31:31.5,6744,,41301,6844,,,31:31.5,,NULL,4476,,,,,,,FALSE,GWILSON,,,FALSE,NULL,NULL,,NULL,NULL
6845,Deployed,41301,Medium,31:31.5,6745,,41301,6845,,,31:31.5,,NULL,5476,,,,,,,FALSE,WCRISSEYJR,,,FALSE,NULL,NULL,,NULL,NULL
6846,Deployed,41301,Medium,31:31.5,6746,,41301,6846,,,31:31.5,,NULL,6476,,,,,,,FALSE,WILDER,,,FALSE,NULL,NULL,,NULL,NULL
6847,Deployed,41301,Medium,31:31.5,6747,,41301,6847,,,31:31.5,,NULL,7476,,,,,,,FALSE,SNK,,,FALSE,NULL,NULL,,NULL,NULL
6848,Deployed,41301,Medium,31:31.5,6748,,41301,6848,,,31:31.5,,NULL,8476,,,,,,,FALSE,YOUNGS,,,FALSE,NULL,NULL,,NULL,NULL
6849,Deployed,41301,Medium,31:31.5,6749,,41301,6849,,,31:31.5,,NULL,9476,,,,,,,FALSE,JW89,,,FALSE,NULL,NULL,,NULL,NULL
6850,Deployed,41301,Medium,31:31.5,6750,,41301,6850,,,31:31.5,,NULL,576,,,,,,,FALSE,CARLIN,,,FALSE,NULL,NULL,,NULL,NULL
6851,Deployed,41301,Medium,31:31.5,6751,,41301,6851,,,31:31.5,,NULL,1576,,,,,,,FALSE,PKS,,,FALSE,NULL,NULL,,NULL,NULL
6852,Deployed,41301,Medium,31:31.5,6752,,41301,6852,,,31:31.5,,NULL,2576,,,,,,,FALSE,JDICKIE,,,FALSE,NULL,NULL,,NULL,NULL
6853,Deployed,41301,Medium,31:31.5,6753,,41301,6853,,,31:31.5,,NULL,3576,,,,,,,FALSE,LSHRIVER,,,FALSE,NULL,NULL,,NULL,NULL
6854,Deployed,41301,Medium,31:31.5,6754,,41301,6854,,,31:31.5,,NULL,4576,,,,,,,FALSE,RBIDINOTTO,,,FALSE,NULL,NULL,,NULL,NULL
6855,Deployed,41301,Medium,31:31.5,6755,,41301,6855,,,31:31.5,,NULL,5576,,,,,,,FALSE,ABOIKA,,,FALSE,NULL,NULL,,NULL,NULL
6856,Deployed,41301,Medium,31:31.5,6756,,41301,6856,,,31:31.5,,NULL,6576,,,,,,,FALSE,ZLI,,,FALSE,NULL,NULL,,NULL,NULL
6857,Deployed,41301,Medium,31:31.5,6757,,41301,6857,,,31:31.5,,NULL,7576,,,,,,,FALSE,ECHENG,,,FALSE,NULL,NULL,,NULL,NULL
6858,Deployed,41301,Medium,31:31.5,6758,,41301,6858,,,31:31.5,,NULL,8576,,,,,,,FALSE,AMARTIN,,,FALSE,NULL,NULL,,NULL,NULL
6859,Deployed,41301,Medium,31:31.5,6759,,41301,6859,,,31:31.5,,NULL,9576,,,,,,,FALSE,SP97,,,FALSE,NULL,NULL,,NULL,NULL
6860,Deployed,41301,Medium,31:31.5,6760,,41301,6860,,,31:31.5,,NULL,676,,,,,,,FALSE,SCOYNER,,,FALSE,NULL,NULL,,NULL,NULL
6861,Deployed,41301,Medium,31:31.5,6761,,41301,6861,,,31:31.5,,NULL,1676,,,,,,,FALSE,RM52,,,FALSE,NULL,NULL,,NULL,NULL
6862,Deployed,41301,Medium,31:31.5,6762,,41301,6862,,,31:31.5,,NULL,2676,,,,,,,FALSE,LMC47,,,FALSE,NULL,NULL,,NULL,NULL
6863,Deployed,41301,Medium,31:31.5,6763,,41301,6863,,,31:31.5,,NULL,3676,,,,,,,FALSE,JSANG,,,FALSE,NULL,NULL,,NULL,NULL
6864,Deployed,41301,Medium,31:31.5,6764,,41301,6864,,,31:31.5,,NULL,4676,,,,,,,FALSE,CDIANE,,,FALSE,NULL,NULL,,NULL,NULL
6865,Deployed,41301,Medium,31:31.5,6765,,41301,6865,,,31:31.5,,NULL,5676,,,,,,,FALSE,JPLIVEC,,,FALSE,NULL,NULL,,NULL,NULL
6866,Deployed,41301,Medium,31:31.5,6766,,41301,6866,,,31:31.5,,NULL,6676,,,,,,,FALSE,CB72,,,FALSE,NULL,NULL,,NULL,NULL
6867,Deployed,41301,Medium,31:31.5,6767,,41301,6867,,,31:31.5,,NULL,7676,,,,,,,FALSE,SCHIU,,,FALSE,NULL,NULL,,NULL,NULL
6868,Deployed,41301,Medium,31:31.5,6768,,41301,6868,,,31:31.5,,NULL,8676,,,,,,,FALSE,ANG,,,FALSE,NULL,NULL,,NULL,NULL
6869,Deployed,41301,Medium,31:31.5,6769,,41301,6869,,,31:31.5,,NULL,9676,,,,,,,FALSE,SA37,,,FALSE,NULL,NULL,,NULL,NULL
6870,Deployed,41301,Medium,31:31.5,6770,,41301,6870,,,31:31.5,,NULL,776,,,,,,,FALSE,MALLIK,,,FALSE,NULL,NULL,,NULL,NULL
6871,Deployed,41301,Medium,31:31.5,6771,,41301,6871,,,31:31.5,,NULL,1776,,,,,,,FALSE,ANDRE11,,,FALSE,NULL,NULL,,NULL,NULL
6872,Deployed,41301,Medium,31:31.5,6772,,41301,6872,,,31:31.5,,NULL,2776,,,,,,,FALSE,CO4,,,FALSE,NULL,NULL,,NULL,NULL
6873,Deployed,41301,Medium,31:31.5,6773,,41301,6873,,,31:31.5,,NULL,3776,,,,,,,FALSE,KWEBB,,,FALSE,NULL,NULL,,NULL,NULL
6874,Deployed,41301,Medium,31:31.5,6774,,41301,6874,,,31:31.5,,NULL,4776,,,,,,,FALSE,ACIERTO,,,FALSE,NULL,NULL,,NULL,NULL
6875,Deployed,41301,Medium,31:31.5,6775,,41301,6875,,,31:31.5,,NULL,5776,,,,,,,FALSE,STEIGER,,,FALSE,NULL,NULL,,NULL,NULL
6876,Deployed,41301,Medium,31:31.5,6776,,41301,6876,,,31:31.5,,NULL,6776,,,,,,,FALSE,LKRAFT,,,FALSE,NULL,NULL,,NULL,NULL
6877,Deployed,41301,Medium,31:31.5,6777,,41301,6877,,,31:31.5,,NULL,7776,,,,,,,FALSE,MADUVE,,,FALSE,NULL,NULL,,NULL,NULL
6878,Deployed,41301,Medium,31:31.5,6778,,41301,6878,,,31:31.5,,NULL,8776,,,,,,,FALSE,CW47,,,FALSE,NULL,NULL,,NULL,NULL
6879,Deployed,41301,Medium,31:31.5,6779,,41301,6879,,,31:31.5,,NULL,9776,,,,,,,FALSE,JPC,,,FALSE,NULL,NULL,,NULL,NULL
6880,Deployed,41301,Medium,31:31.5,6780,,41301,6880,,,31:31.5,,NULL,876,,,,,,,FALSE,BALLOU,,,FALSE,NULL,NULL,,NULL,NULL
6881,Deployed,41301,Medium,31:31.5,6781,,41301,6881,,,31:31.5,,NULL,1876,,,,,,,FALSE,WAC1,,,FALSE,NULL,NULL,,NULL,NULL
